Timestamp,Please generate a unique ID by smashing random keys on the keyboard,How old are you?,What country do you live in?,What is your zip code / postal code?,How many siblings did you grow up with?,"How much television did you watch as a kid, on average?","On average, do you think you watched more television on weekdays or on the weekend?","On average, do you think you watched more television during the school year or during summer vacation?",Which is your favorite Muppet?,"In your opinion, which of the following items could technically be considered a sandwich?",Do you believe in ghosts?,Have you ever had an encounter with a ghost?,Pretend you've just been challenged to rock-paper-scissors. What's your move?,OPTIONAL: Please provide any feedback you have on this survey. Thank you for participating!!
6/21/2024 12:50:00,al;fa'poii,42,United States,60189,1-2,3-6 hours per week,More on weekdays,More during the school year,Rizzo the Rat,Egg and cheese in an English muffin,Maybe,Maybe,Paper,
6/21/2024 13:23:55,Hhgghhugfg,33,USA,59086,5 or more,6-8 hours per week,More on the weekend,More during the summer,Gonzo the Great,Egg and cheese in an English muffin,Maybe,No,Scissors,
6/21/2024 13:35:35,retz6yjsza4rju,52,USA,97219,0,1-3 hours per week,About the same,About the same,Beaker.  A thousand times Beaker.,"Egg and cheese in an English muffin, Chicago-style hot dog with all the fixings, Bratwurst with sauerkraut in a bun",Maybe,Maybe,Rock,Watch Beaker singing Beethoven's Ode to Joy.  He'll be your favorite Muppet too.
6/21/2024 13:40:28,l o.e ;pm/ ir's,65,United States of America,55118,5 or more,More than 8 hours per week,More on weekdays,More during the summer,Fozzie Bear,Egg and cheese in an English muffin,Yes,Yes,Paper,This was fun - I'm game for helping with any sort of educational experience.  Good luck!
6/21/2024 13:50:48,Ndhdjrjhrb ,51,United States ,55116,1-2,More than 8 hours per week,About the same,More during the school year,Animal,Egg and cheese in an English muffin,Yes,Maybe,Rock,I have beared my soul in the name of science
6/21/2024 14:01:15,,28,USA,43207,1-2,3-6 hours per week,More on the weekend,More during the school year,Rizzo the Rat,Egg and cheese in an English muffin,Maybe,Maybe,Rock,
6/21/2024 14:02:14,Hdurjvbiwonebdu,40,Usa,53704,1-2,Less than 1 hour per week,About the same,About the same,I do not have a favorite Muppet,"Egg and cheese in an English muffin, Chicago-style hot dog with all the fixings, Bratwurst with sauerkraut in a bun, Burrito wrapped in foil and eaten with the hands, Burrito smothered in salsa verde and eaten with a fork, Pizza slice folded in half",No,No,Rock,I love silly surveys 
6/21/2024 14:18:11,,48,us,54016,3-4,Less than 1 hour per week,More on the weekend,About the same,Kermit the Frog,Pizza slice folded in half,Maybe,Yes,Rock,
6/21/2024 14:18:48,Jahdjjdb ,51,USA,54016,1-2,More than 8 hours per week,More on weekdays,More during the summer,Animal,Egg and cheese in an English muffin,Maybe,Maybe,Rock,Being silly rocks!  
6/21/2024 14:40:54,fadnfdanfdisnfid,43,United States,54016,3-4,3-6 hours per week,More on the weekend,More during the school year,Fozzie Bear,Egg and cheese in an English muffin,Maybe,Maybe,Scissors,This doesn't feel very anonymous...
